,ResponseId,Country,RobotType,care_family,cook,creepy,feel_emo,friendly,like,phys_sim,plan_indep,think_hum,touch,vacuum,want_to_have,dictator_offer
1,R_0PLYVyOm2YMWbtf,India,1,15.6,7.6,13.1,4.2,20.2,0,25.3,82.4,13.9,32.4,11.3,35.8,0.5
2,R_0PLYVyOm2YMWbtf,India,2,69.7,10.3,73.6,10.8,14.4,24.5,0,0,0,93.6,4.2,80.5,0.44
3,R_0PLYVyOm2YMWbtf,India,3,83.2,100,18,15.1,77.3,100,100,85.4,79,100,100,100,1
4,R_0PLYVyOm2YMWbtf,India,4,76.2,76.8,24.7,0,21.8,80.6,79.4,25,72.4,78.7,67.8,74.8,0.6
5,R_0PLYVyOm2YMWbtf,India,5,80.3,24.2,20.2,19.8,11.2,19.6,22.7,84.4,16.9,74,79.8,100,0.4
6,R_0PLYVyOm2YMWbtf,India,6,9.1,31.4,75.7,0,20.5,0,0,7.3,0,15.4,28.1,13.8,0.4
7,R_0PLYVyOm2YMWbtf,India,7,0,29.9,0,0,0,0,0,0,0,21.1,35.4,24.8,0.1
8,R_0PLYVyOm2YMWbtf,India,8,68.7,78.8,62.4,0,19.6,0,0,0,0,19.7,6.3,24.1,0.5
9,R_0PLYVyOm2YMWbtf,India,9,63.7,73.8,16,0,17.7,11,0,77.7,0,81.7,79.8,83.2,0.4
10,R_0PLYVyOm2YMWbtf,India,10,2.7,23.5,24.1,19.8,7.8,16.5,5.6,75.1,0,17.2,0,20.5,0.16
11,R_0PLYVyOm2YMWbtf,India,11,68.1,77.4,65.3,0,9.9,6.2,8.8,65.3,11.8,100,74.1,100,0.4
12,R_0PLYVyOm2YMWbtf,India,12,0,13.8,0.3,5.6,0,18.1,0.4,2.8,2.8,24.1,10.1,85,0.44
13,R_0PLYVyOm2YMWbtf,India,13,63,76.1,0,0,78.4,61.1,8.8,23.7,22.3,100,49.5,76.9,0.2
14,R_0PLYVyOm2YMWbtf,India,14,100,78.1,0,0,100,100,88.2,20,67.7,100,100,90.7,1
15,R_0PLYVyOm2YMWbtf,India,15,100,100,13.1,0,85.8,75.8,65.7,13.8,27.2,100,100,100,0.8
16,R_0PLYVyOm2YMWbtf,India,16,61.9,85.9,18.5,0,3,19.8,3.6,0,0,71.3,15.9,23.5,0.48
17,R_0PLYVyOm2YMWbtf,India,17,74.9,62.7,76.8,0,19.9,21.8,0,21.8,0,100,96.8,76.8,0.4
18,R_0PLYVyOm2YMWbtf,India,18,100,100,0,0,100,100,100,15.6,78.8,100,80.8,100,1
19,R_0rHwipJzL9RyXlf,India,1,36.7,35,23.2,32.6,68.8,79,11.7,34.3,55,37.8,44.2,62.2,0.4
20,R_0rHwipJzL9RyXlf,India,2,54.7,36.7,42.4,43,57.1,40.9,60.9,56.2,36.7,33.2,58.3,61.8,0.048
21,R_0rHwipJzL9RyXlf,India,3,53.1,43.4,39.7,45.8,31.1,41.6,62.1,56.4,39,35.9,64.5,57.6,0.02
22,R_0rHwipJzL9RyXlf,India,4,53.9,37.3,43,38.1,53.8,44.2,56.3,56.2,42.6,35.9,57.2,54.3,0.136
23,R_0rHwipJzL9RyXlf,India,5,42.5,54.8,40.1,56.2,55.5,35.7,38.3,40.1,44.2,64.6,43.4,42.1,0.484
24,R_0rHwipJzL9RyXlf,India,6,41.3,39.3,58.3,59.1,58.8,44,37.7,42.4,56,39,39.4,40.9,0.04
25,R_0rHwipJzL9RyXlf,India,7,44.8,41.4,37.7,37.1,39.4,38.2,39.8,37.1,40.6,42,38.7,41,0.04
26,R_0rHwipJzL9RyXlf,India,8,43.6,56.4,57.5,35.4,37.5,34.9,40.8,39.4,59,43.2,32.2,57.9,0.22
27,R_0rHwipJzL9RyXlf,India,9,5.9,2.4,46.1,34.6,36.5,59.1,1.3,24,2.5,12.9,39.3,16.1,0.04
28,R_0rHwipJzL9RyXlf,India,10,42.5,42.5,43.2,44.6,55.1,39.4,40.1,43.8,55.8,38.2,42.4,37.7,0.04
29,R_0rHwipJzL9RyXlf,India,11,57.2,35.5,32.8,41.8,42.2,30.8,57,32.2,45.3,43.7,39.3,57.9,0.04
30,R_0rHwipJzL9RyXlf,India,12,55.4,44.5,45.3,54.4,44.6,31.9,36.9,55.4,41.7,43.8,41.6,53.8,0.004
31,R_0rHwipJzL9RyXlf,India,13,31.5,24.4,74.5,71,64.3,24.8,27.5,38.1,31.2,36.9,83.5,55.6,0
